parcel_num	parcel_name	num_vertices	roi_num	roi_name	roi_count	roi_percentage
48	R_LIPv_ROI	154	2.0	OtherR	154	100.0
49	R_VIP_ROI	111	2.0	OtherR	111	100.0
50	R_MIP_ROI	180	8.0	AngularR	96	53.333333333333336
51	R_1_ROI	387	2.0	OtherR	387	100.0
52	R_2_ROI	624	2.0	OtherR	624	100.0
53	R_3a_ROI	320	2.0	OtherR	320	100.0
54	R_6d_ROI	178	2.0	OtherR	178	100.0
55	R_6mp_ROI	269	2.0	OtherR	269	100.0
56	R_6v_ROI	117	2.0	OtherR	96	82.05128205128204
57	R_p24pr_ROI	92	2.0	OtherR	73	79.34782608695652
58	R_33pr_ROI	75	4.0	FrontalR	58	77.33333333333333
59	R_a24pr_ROI	53	2.0	OtherR	37	69.81132075471697
60	R_p32pr_ROI	138	2.0	OtherR	75	54.347826086956516
61	R_a24_ROI	82	2.0	OtherR	82	100.0
62	R_d32_ROI	123	4.0	FrontalR	121	98.3739837398374
63	R_8BM_ROI	175	4.0	FrontalR	175	100.0
64	R_p32_ROI	101	2.0	OtherR	88	87.12871287128714
65	R_10r_ROI	74	4.0	FrontalR	69	93.24324324324324
66	R_47m_ROI	61	4.0	FrontalR	61	100.0
67	R_8Av_ROI	207	4.0	FrontalR	198	95.65217391304348
68	R_8Ad_ROI	239	4.0	FrontalR	225	94.14225941422593
69	R_9m_ROI	266	4.0	FrontalR	217	81.57894736842105
70	R_8BL_ROI	190	4.0	FrontalR	190	100.0
71	R_9p_ROI	103	4.0	FrontalR	103	100.0
72	R_10d_ROI	118	4.0	FrontalR	117	99.15254237288136
73	R_8C_ROI	243	4.0	FrontalR	241	99.1769547325103
74	R_44_ROI	145	4.0	FrontalR	145	100.0
75	R_45_ROI	135	4.0	FrontalR	135	100.0
76	R_47l_ROI	115	4.0	FrontalR	115	100.0
77	R_a47r_ROI	174	4.0	FrontalR	172	98.85057471264368
78	R_6r_ROI	263	2.0	OtherR	173	65.77946768060836
79	R_IFJa_ROI	79	4.0	FrontalR	79	100.0
80	R_IFJp_ROI	63	4.0	FrontalR	63	100.0
81	R_IFSp_ROI	133	4.0	FrontalR	133	100.0
82	R_IFSa_ROI	156	4.0	FrontalR	154	98.71794871794873
83	R_p9-46v_ROI	181	4.0	FrontalR	154	85.0828729281768
84	R_46_ROI	243	2.0	OtherR	216	88.88888888888889
85	R_a9-46v_ROI	95	4.0	FrontalR	85	89.47368421052632
